#! FIELDS time psi11 phi10 alpha
#! SET min_psi11 -pi
#! SET max_psi11 pi
#! SET min_phi10 -pi
#! SET max_phi10 pi
 371.000000 0.146047 -2.709147 0.000709
 372.000000 0.425600 -2.672389 0.001757
 373.000000 0.275673 -2.910625 0.002194
 374.000000 0.061639 -2.582387 0.001715
 375.000000 0.332339 -2.769792 0.002059
 376.000000 0.182593 -3.008213 0.001950
 377.000000 0.381075 -2.250756 0.000744
 378.000000 0.300699 3.019037 0.000475
 379.000000 0.264612 3.107661 0.000927
 380.000000 -1.465371 -2.594915 0.001577
 381.000000 -0.706823 -3.099647 0.000254
 382.000000 0.276982 2.635779 0.000755
 383.000000 0.152511 -2.571734 0.000235
 384.000000 -1.562971 2.878191 0.000623
 385.000000 0.225800 -2.311610 0.000734
 386.000000 1.486723 -3.128553 0.000832
 387.000000 0.383678 -2.971145 0.001063
 388.000000 0.393457 -2.671056 0.000833
 389.000000 0.355831 -2.035224 0.001380
 390.000000 0.474460 -2.745343 0.000754
 391.000000 0.367783 -2.889840 0.000978
 392.000000 0.265249 -3.061870 0.000357
 393.000000 1.575095 -2.568651 0.000428
 394.000000 -0.434973 -2.446633 0.000307
 395.000000 -0.255772 3.017016 0.000918
 396.000000 -0.088738 -2.896451 0.000146
 397.000000 0.448257 -3.001175 0.000387
 398.000000 -1.491553 -2.798037 0.000161
 399.000000 1.291693 -2.637519 0.000310
 400.000000 0.678517 -2.780356 0.000690
 401.000000 0.973919 -2.090394 0.000276
 402.000000 0.918491 2.893090 0.000270
 403.000000 0.192254 3.041329 0.000546
 404.000000 -1.666669 -2.848274 0.000772
 405.000000 1.521840 2.848676 0.000950
 406.000000 0.122193 2.721690 0.000301
 407.000000 1.082841 2.713936 0.000611
 408.000000 1.192721 -2.776430 0.000240
 409.000000 -1.675127 -2.203192 0.000297
 410.000000 0.470744 2.886760 0.000449
 411.000000 0.482326 -2.311402 0.000705
 412.000000 0.436846 -3.065660 0.000211
 413.000000 -1.392035 -3.027295 0.000325
 414.000000 0.445350 -2.617457 0.000631
 415.000000 0.414667 -1.619128 0.000224
 416.000000 0.266708 -1.841972 0.001547
 417.000000 0.437673 -1.835958 0.001757
 418.000000 0.142684 -2.376980 0.002069
 419.000000 0.345663 -2.033705 0.002825
 420.000000 0.352890 -2.093896 0.002659
 421.000000 0.244623 -2.317281 0.000577
 422.000000 0.350826 -2.847809 0.001834
 423.000000 0.174304 -2.696764 0.003320
 424.000000 0.354521 -2.435893 0.001635
 425.000000 0.260117 -2.555194 0.002477
 426.000000 0.438410 -1.539160 0.001292
 427.000000 0.220739 -2.636692 0.001281
 428.000000 0.136300 -1.916862 0.002259
 429.000000 0.160108 -2.192246 0.002585
 430.000000 0.179173 -2.629868 0.000874
 431.000000 0.433785 -2.235850 0.001085
 432.000000 0.304062 -1.433809 0.001167
 433.000000 0.254665 -2.532445 0.002592
 434.000000 0.152389 -2.136292 0.002050
 435.000000 0.377420 -2.226161 0.002874
 436.000000 0.435380 -2.496630 0.003699
 437.000000 0.331868 -2.478899 0.002769
 438.000000 0.399129 -1.781858 0.002475
 439.000000 0.269136 -1.774628 0.000957
 440.000000 0.489044 -2.381602 0.001740
 441.000000 0.481731 -2.617329 0.001021
 442.000000 0.225237 -2.079986 0.001045
 443.000000 0.132648 -2.336596 0.002663
 444.000000 0.221747 -2.583232 0.003319
 445.000000 0.248724 -2.544694 0.002336
 446.000000 0.303264 -1.780147 0.002873
 447.000000 0.355149 -2.252228 0.000791
 448.000000 0.097803 -2.426998 0.002958
 449.000000 0.287501 -2.043428 0.002155
 450.000000 0.229152 -2.587544 0.002424
 451.000000 0.052960 -2.540810 0.001909
 452.000000 0.319239 -2.442553 0.001969
 453.000000 0.418291 -1.721584 0.002444
 454.000000 0.244346 -2.235627 0.000796
 455.000000 0.143416 -2.720403 0.000956
 456.000000 0.405971 -2.315153 0.002902
 457.000000 0.297060 -2.456155 0.002246
 458.000000 0.401465 -2.126042 0.003089
 459.000000 0.508245 -2.258779 0.002977
 460.000000 0.196506 -1.785319 0.002391
 461.000000 0.275922 -2.099066 0.002038
 462.000000 0.382594 -2.469852 0.001781
 463.000000 0.412810 -2.352676 0.002616
 464.000000 0.334225 -2.337787 0.003037
 465.000000 0.259941 -2.509192 0.001928
 466.000000 -1.555505 -2.718186 0.002418
 467.000000 0.313521 -2.200935 0.001927
 468.000000 0.273105 -2.486773 0.001821
 469.000000 0.418390 -2.125710 0.001691
 470.000000 0.321141 -2.206875 0.002126
 471.000000 0.383801 -1.867040 0.001560
 472.000000 0.214783 -2.293144 0.002798
 473.000000 0.364687 -2.304083 0.002322
 474.000000 0.300091 -2.068616 0.002697
 475.000000 0.277554 -2.067067 0.002662
 476.000000 0.174328 -1.470547 0.003961
 477.000000 0.268573 -2.295217 0.002942
 478.000000 0.308615 -2.280406 0.003711
 479.000000 0.261098 -2.032579 0.004623
 480.000000 0.375971 -2.358419 0.002181
 481.000000 0.339858 -1.722896 0.002291
 482.000000 0.191542 -2.171807 0.003145
 483.000000 0.329122 -2.188751 0.002542
 484.000000 0.342262 -2.806105 0.002871
 485.000000 0.169390 -2.855017 0.002255
 486.000000 0.207793 -1.966317 0.002577
 487.000000 0.144197 -2.032807 0.002630
 488.000000 0.242233 -2.683555 0.003139
 489.000000 0.062160 -2.166510 0.002825
 490.000000 -1.498501 -2.517325 0.000685
 491.000000 -1.343574 -2.932833 0.000255
 492.000000 0.364968 -2.629942 0.000362
 493.000000 0.404614 -2.789687 0.000420
 494.000000 0.447361 2.777576 0.000689
 495.000000 -0.216513 -2.188983 0.001322
 496.000000 0.892994 -2.759093 0.000258
 497.000000 -0.515206 -2.645041 0.001463
 498.000000 -0.430176 -2.773786 0.000583
 499.000000 0.178965 -3.061696 0.000518
 500.000000 0.463957 -2.285298 0.000278
 501.000000 -1.143908 -2.512021 0.000822
 502.000000 0.503715 -1.760802 0.004400
 503.000000 0.093977 -2.780342 0.000972
 504.000000 -0.839345 -2.432334 0.000230
 505.000000 0.593049 -2.706886 0.000263
 506.000000 1.481954 -2.280057 0.000710
 507.000000 0.208604 -2.215034 0.001118
 508.000000 0.181197 -2.128087 0.001227
 509.000000 1.010515 -2.342009 0.000659
 510.000000 0.827627 -2.578003 0.000725
 511.000000 1.182219 -2.408192 0.000810
 512.000000 0.434085 -2.028355 0.000971
 513.000000 -0.016742 -2.011456 0.000595
 514.000000 0.417455 -1.704728 0.001037
 515.000000 0.451368 -2.004642 0.000878
 516.000000 0.477155 -1.871570 0.000865
 517.000000 1.651684 2.879333 0.000772
 518.000000 -0.337311 3.001890 0.000971
 519.000000 -0.199193 -3.059685 0.000934
 520.000000 -0.314384 -2.927730 0.000571
 521.000000 -0.432903 3.069506 0.000715
 522.000000 -0.419359 -2.706582 0.000457
 523.000000 0.033213 -2.412621 0.000259
 524.000000 0.334830 -2.454704 0.000194
 525.000000 0.432107 2.658363 0.002420
 526.000000 0.225214 -2.945729 0.002622
 527.000000 0.355163 2.942207 0.001131
 528.000000 0.304900 3.076243 0.000823
 529.000000 0.185838 2.978727 0.002093
 530.000000 0.431598 -2.954130 0.003419
 531.000000 0.272098 -3.098074 0.002276
 532.000000 0.328447 -2.583331 0.001639
 533.000000 0.387744 -2.536375 0.003109
 534.000000 0.257325 -2.955312 0.002350
 535.000000 0.247428 -3.109397 0.003263
 536.000000 0.210122 -3.057305 0.001946
 537.000000 0.287667 -2.838104 0.002839
 538.000000 0.359373 -2.171559 0.001610
 539.000000 0.014342 -2.851543 0.001940
 540.000000 -0.066261 2.578954 0.001860
 541.000000 0.191388 -2.636971 0.000169
 542.000000 1.403030 -2.229736 0.000819
 543.000000 -0.069925 -2.524317 0.001407
 544.000000 1.371275 -2.299190 0.001517
 545.000000 -0.445499 -2.510891 0.000260
 546.000000 0.216470 -2.828108 0.000207
 547.000000 0.042464 2.619602 0.000617
 548.000000 0.353465 -2.676262 0.000136
 549.000000 0.431106 -2.787038 0.001277
 550.000000 -0.006329 -2.045900 0.000747
 551.000000 0.335395 -2.466458 0.001928
 552.000000 0.334560 -2.333323 0.002653
 553.000000 0.109519 -2.052793 0.001938
 554.000000 0.341148 -1.625696 0.000807
 555.000000 0.288678 -2.383639 0.003286
 556.000000 0.391955 -2.251918 0.002182
 557.000000 0.281303 -1.973569 0.001869
 558.000000 0.069185 -2.167126 0.002801
 559.000000 0.440993 -2.122543 0.004131
 560.000000 0.341455 -2.678089 0.003805
 561.000000 0.209596 -2.180020 0.003471
 562.000000 0.399170 -1.981557 0.002401
 563.000000 0.352329 -2.771324 0.001723
 564.000000 0.350926 -2.508223 0.001212
 565.000000 0.361488 -1.893212 0.000831
 566.000000 0.367161 -2.421258 0.001005
 567.000000 0.313505 -1.855019 0.001408
 568.000000 0.358639 -2.033354 0.001273
 569.000000 0.367785 -2.402670 0.002136
 570.000000 0.164542 -2.313546 0.001744
 571.000000 0.344994 -2.733699 0.001748
 572.000000 0.366912 -2.498946 0.003019
 573.000000 0.310171 -2.016823 0.002122
 574.000000 0.358676 -2.216284 0.001828
 575.000000 0.281608 -1.986562 0.002474
 576.000000 0.339561 -1.754849 0.003430
 577.000000 0.345857 -2.564676 0.002552
 578.000000 0.208847 -2.346342 0.002203
 579.000000 0.166067 -2.527216 0.002328
 580.000000 0.188990 -2.193089 0.002846
 581.000000 0.354725 -1.943130 0.001936
 582.000000 0.236543 -2.135240 0.001694
 583.000000 0.208954 -1.932399 0.001516
 584.000000 0.429837 -2.393289 0.001672
 585.000000 0.314606 -2.572007 0.001333
 586.000000 0.279036 -2.451083 0.000974
 587.000000 0.242131 -2.288262 0.002418
 588.000000 0.467052 -2.320650 0.002404
 589.000000 0.448604 -2.269641 0.002227
 590.000000 0.229734 -1.949012 0.002111
 591.000000 0.168792 -2.176857 0.002236
 592.000000 0.344545 -2.950949 0.001394
 593.000000 0.276672 -2.326565 0.001839
 594.000000 0.263004 -2.596712 0.002129
 595.000000 0.221034 -2.192836 0.001888
 596.000000 0.324009 -2.544797 0.001983
 597.000000 0.363120 -2.502325 0.001978
 598.000000 0.195887 -2.006164 0.003344
 599.000000 0.338180 -2.334774 0.003306
 600.000000 0.062628 -2.158618 0.001909
 601.000000 0.288276 -2.603634 0.001734
 602.000000 0.300916 -2.275108 0.002801
 603.000000 0.196477 -2.160950 0.001957
 604.000000 0.346612 -2.311408 0.002955
 605.000000 0.051354 -2.532667 0.002578
 606.000000 0.292023 -2.903259 0.002202
 607.000000 0.281420 -2.384874 0.003360
 608.000000 0.403308 -2.160252 0.000332
 609.000000 0.274471 -1.929462 0.001548
 610.000000 0.285402 -2.468974 0.001857
 611.000000 0.415707 -1.774457 0.001440
 612.000000 0.324732 -2.184919 0.002019
 613.000000 0.246957 -2.312894 0.001940
 614.000000 0.250505 -2.139426 0.003258
 615.000000 0.350331 -1.475455 0.001122
 616.000000 0.380662 -3.134384 0.000866
 617.000000 0.300284 3.014031 0.000634
 618.000000 0.349414 -2.739945 0.000211
